time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,98.8,93.0,93.0,92.7994449250051,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,7.35781213734299e-12,0.0,-0.049781158680469825,0.050510629736125925,7.321432349272073e-12,-0.049781158680469825,0.050510629736125925,-0.04965931723283463,0.12102204830149611,0.05051062972876812,-0.049781158687827634,0.12102204830149611,-0.04965931723283463,False,False,0.0,0.0,6.043972499999999,12.087944999999998
5,0.08333333333333333,False,False,92.9820329973238,50.0,98.78309264597125,92.92279960579083,92.94381848421766,92.23946907279284,74.0,42.9820329973238,0.29484020376562414,0.29778860580328037,0.03568136553433074,0.01927387911056376,0.13764640790836807,0.0,7.35781213734299e-12,0.29778860580328037,-0.04238837461034649,0.06158545631772779,7.321432349272073e-12,-0.04238837461034649,0.06158545631772779,0.25166709800032866,0.4318515035494165,0.06158545631036998,-0.0423883746177043,0.1340628977461361,-0.04612150780295171,False,False,6.043972499999999,12.087944999999998,0.36791960302133986,0.7358392060426797
10,0.16666666666666666,False,False,92.85717671042218,50.0,98.60512954413085,92.723633867251,92.75808646974083,91.52338335559449,74.0,42.85717671042218,0.5796023880389035,0.5853984119192925,0.3417593007748726,0.057905539168809854,0.4069413492768468,0.0005272052246289467,7.35781213734299e-12,0.5853984119192925,-0.03680723916467347,0.07131382122692173,0.0005266714312256226,-0.03680723916467347,0.07131382122692173,0.5454703100100913,0.7331531634412813,0.07131382121956392,-0.03680723917203128,0.1477547515219888,-0.03992810190920126,False,False,0.36791960302133986,0.7358392060426797,0.3552132267257703,0.7104264534515407
15,0.25,False,False,92.4727209211322,50.0,98.19303891853278,92.41946473232407,92.49485113887863,90.89576915285988,74.0,42.47272092113219,0.8543431173460283,0.8628865485194885,0.6393117367256863,0.09716799083833001,0.6710799308490847,0.014667814453724837,0.0005292884321261227,0.8628865485194885,-0.03947115940396038,0.07263914405544587,0.014652963465005088,-0.03947115940396038,0.07263914405544587,0.8065084406742149,1.0012072680440052,0.07210985562331974,-0.0400004478360865,0.13832071952451663,-0.05637810784527364,False,False,0.3552132267257703,0.7104264534515407,0.32012039965450584,0.6402407993090117
20,0.3333333333333333,False,False,91.71308284729794,50.0,97.52579142331182,91.6912976530562,92.16114276714418,89.77278263660267,74.0,41.71308284729794,1.1180311358695514,1.1292114472282468,0.90385785435911,0.13687230066426503,0.9290964046515493,0.038562330718174886,0.020106993301369586,1.1292114472282468,-0.02361313506298226,0.09233206389446823,0.03852328678954109,-0.02361313506298226,0.09233206389446823,1.0567778992537233,1.2580675398060315,0.07222507059309864,-0.043720128364351844,0.12885609257778463,-0.0724335479745235,False,False,0.32012039965450584,0.6402407993090117,0.2665379167307912,0.5330758334615824
25,0.4166666666666667,False,False,90.56121308714083,50.0,96.60479429036499,90.5233522403392,91.75261202636196,88.24963405410314,74.0,40.56121308714083,1.3688408117752215,1.3825292198929737,1.1574227195298774,0.17670809862421377,1.1791896169074187,0.0682406979635484,0.048905716022736676,1.3825292198929737,0.0011455895487314655,0.12078063654775918,0.06817160502801016,0.0011455895487314655,0.12078063654775918,1.2945974560945963,1.5020913691778524,0.0718749205250225,-0.04776012647400521,0.11956214928487863,-0.08793176379837742,False,False,0.2665379167307912,0.5330758334615824,0.207304710927349,0.414609421854698
30,0.5,False,False,89.06247456015042,50.0,95.451400226762,89.00510018560828,90.67536705363155,86.45998054160704,74.0,39.06247456015042,1.604854946978402,1.6209034964481859,1.3983444126362243,0.21630202613972493,1.419168874004047,0.10123686995259437,0.0814064684591449,1.6209034964481859,0.02946259600684329,0.1526511961609473,0.10113436876922606,0.02946259600684329,0.1526511961609473,1.5180409611318133,1.7313874156526745,0.0712447277018024,-0.05194387245230161,0.11048391920448863,-0.10286253531637257,False,False,0.207304710927349,0.414609421854698,0.1510248485131441,0.3020496970262882
35,0.5833333333333334,False,False,87.2884579282704,50.0,94.1025225800016,87.20940622801966,89.3135780632963,84.47850926054376,74.0,37.288457928270404,1.8244949523716802,1.8427399018953972,1.624714188392244,0.25528833347709756,1.646967521178439,0.1361286404598579,0.11630932711900642,1.8427399018953972,0.06009235794974234,0.18670639622052157,0.1359908117625764,0.06009235794974234,0.18670639622052157,1.7255914373249048,1.9444701973044365,0.07039706910151515,-0.05621696916926408,0.10173029540903933,-0.11714846457049233,False,False,0.1510248485131441,0.3020496970262882,0.10175308362761126,0.20350616725522253
40,0.6666666666666666,False,False,85.31875175495489,50.0,92.60445690205273,85.2171224696663,87.73426161487608,82.37790611811957,74.0,35.31875175495489,2.026688293238129,2.0469551761705103,1.8350308173146708,0.29334864339810535,1.8609187959880629,0.17202856690236354,0.1527614199789332,2.0469551761705103,0.0922367845497217,0.22215578800792715,0.1718543899356064,0.0922367845497217,0.22215578800792715,1.9162652669718914,2.140384595733757,0.06939436802899396,-0.06052463542921149,0.0934294195632468,-0.1306899091986189,False,False,0.10175308362761126,0.20350616725522253,0.061210389910853424,0.12242077982170685
45,0.75,False,False,83.23103137755598,50.0,91.00656426863328,83.10701466437814,86.00595785985384,80.22393432432206,74.0,33.23103137755598,2.2109058470826803,2.233014905553507,2.028324931352824,0.33022825911029385,2.0598556465957407,0.20831650039275135,0.19012876003772364,2.233014905553507,0.12531360959667073,0.25842424346265663,0.20810558229400158,0.12531360959667073,0.25842424346265663,2.089618532825566,2.3187124839900664,0.068295483424933,-0.0648151504410529,0.08569757843655923,-0.14339637272794103,False,False,0.061210389910853424,0.12242077982170685,0.029797676068164136,0.05959535213632827
50,0.8333333333333334,False,False,81.09484633248685,50.0,89.35599082610617,80.94946725422021,84.19240725693099,78.0723649354749,74.0,31.094846332486853,2.377130831068691,2.4009021393793777,2.204165508407816,0.3657402115762465,2.2431203721147805,0.2445219908037911,0.22790053469006127,2.4009021393793777,0.15885838574525118,0.29505398142982875,0.24427441506918515,0.15885838574525118,0.29505398142982875,2.245702078383016,2.4795280461795626,0.06715344673976748,-0.06904214894481009,0.07862590680018489,-0.15520006099636152,False,False,0.029797676068164136,0.05959535213632827,0.007030720716725891,0.014061441433451782
