time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,98.8,93.0,93.0,93.0,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,7.36690708436072e-12,0.0,7.092121450114065e-12,7.092121450114065e-12,7.321432349272073e-12,7.092121450114065e-12,7.092121450114065e-12,0.0,0.0,-2.747856342466548e-13,-2.747856342466548e-13,0.0,-0.0,False,False,0.0,0.0,6.043972499999999,6.043972499999999
5,0.08333333333333333,False,False,92.99515169190265,50.0,98.79132798982106,92.9795463619176,92.9468421968278,92.9468421968278,74.0,42.99515169190265,0.14742010188281207,0.14742010188281207,0.0,0.01927387911056376,0.06882320395418404,0.0,7.36690708436072e-12,0.14742010188281207,0.009202269943605483,0.009202269943605483,7.321432349272073e-12,0.009202269943605483,0.009202269943605483,0.15073202073241437,0.15073202073241437,0.009202269936238575,0.009202269936238575,0.003311918849602302,0.003311918849602302,False,False,6.043972499999999,6.043972499999999,0.3697635339346066,0.3697635339346066
10,0.16666666666666666,False,False,92.96042603306536,50.0,98.69960917128947,92.92664192772618,92.81412167083654,92.81412167083654,74.0,42.96042603306536,0.2898461698169258,0.2898461698169258,0.15073202073241437,0.05791141935795871,0.2034916716289493,0.0005268644426936545,7.36690708436072e-12,0.2898461698169258,0.017329970701559085,0.017329970701559085,0.0005263309992642462,0.017329970701559085,0.017329970701559085,0.29744139045102236,0.29744139045102236,0.01732997069419218,0.01732997069419218,0.007595220634096567,0.007595220634096567,False,False,0.3697635339346066,0.3697635339346066,0.3679947800337191,0.3679947800337191
15,0.25,False,False,92.80429939640435,50.0,98.48525556590708,92.80406489599555,92.6587395286953,92.6587395286953,74.0,42.804299396404346,0.42756899327313524,0.42756899327313524,0.29744139045102236,0.09722605868860033,0.33574630787773085,0.01466563384734565,0.005712255367598118,0.42756899327313524,0.022066567447579795,0.022066567447579795,0.01465078506066675,0.022066567447579795,0.022066567447579795,0.4280578696935978,0.4280578696935978,0.016354312079981677,0.016354312079981677,0.0004888764204625806,0.0004888764204625806,False,False,0.3679947800337191,0.3679947800337191,0.353104021764662,0.353104021764662
20,0.3333333333333333,False,False,92.443836298558,50.0,98.1330360972189,92.44207671355689,92.26588421306826,92.26588421306826,74.0,42.443836298558,0.5605364274697698,0.5605364274697698,0.4280578696935978,0.1371257040544355,0.4654426548565882,0.03856197755084152,0.028172193758200594,0.5605364274697698,0.04300479471057076,0.04300479471057076,0.03852293398435905,0.04300479471057076,0.04300479471057076,0.5540660367979656,0.5540660367979656,0.014832600952370167,0.014832600952370167,-0.006470390671804216,-0.006470390671804216,False,False,0.353104021764662,0.353104021764662,0.3255081931436709,0.3255081931436709
25,0.4166666666666667,False,False,91.85875295547679,50.0,97.63620811858434,91.85425311195145,91.67607865953325,91.67607865953325,74.0,41.85875295547679,0.6883958828821927,0.6883958828821927,0.5540660367979656,0.17744025291679838,0.5921603290936358,0.06827562805098439,0.05625943971817833,0.6883958828821927,0.06934939016691347,0.06934939016691347,0.06820649975065862,0.06934939016691347,0.06934939016691347,0.6751958689914659,0.6751958689914659,0.013089950448735135,0.013089950448735135,-0.01320001389072678,-0.01320001389072678,False,False,0.3255081931436709,0.3255081931436709,0.29329199065141903,0.29329199065141903
30,0.5,False,False,91.06159140763108,50.0,96.99546906644565,91.0532901088794,90.90040858922548,90.90040858922548,74.0,41.061591407631084,0.8107201297724445,0.8107201297724445,0.6751958689914659,0.21795205058303904,0.7153216417155991,0.10140656290144234,0.08804159011970114,0.8107201297724445,0.09921645412268804,0.09921645412268804,0.10130388990205574,0.09921645412268804,0.09921645412268804,0.7910105176977908,0.7910105176977908,0.011174864002986895,0.011174864002986895,-0.019709612074653604,-0.019709612074653604,False,False,0.29329199065141903,0.29329199065141903,0.260882835971756,0.260882835971756
35,0.5833333333333334,False,False,90.07555281090895,50.0,96.21805403898439,90.06256292735249,89.95863857688924,89.95863857688924,74.0,40.075552810908945,0.9271227202139036,0.9271227202139036,0.7910105176977908,0.25843751785265556,0.8343445937916133,0.13663233756948873,0.1223921593987143,0.9271227202139036,0.13151905006623738,0.13151905006623738,0.13649399887221988,0.13151905006623738,0.13151905006623738,0.9011365383457455,0.9011365383457455,0.009126890667523077,0.009126890667523077,-0.025986181868158154,-0.025986181868158154,False,False,0.260882835971756,0.260882835971756,0.2298740817345557,0.2298740817345557
40,0.6666666666666666,False,False,88.92796739219969,50.0,95.31652959851992,88.9095768657453,88.87435285130488,88.87435285130488,74.0,38.92796739219969,1.0372933834268432,1.0372933834268432,0.9011365383457455,0.29868646785232283,0.9487111057450507,0.17318504191269718,0.15859226577003938,1.0372933834268432,0.16557154067199426,0.16557154067199426,0.17300969402281227,0.16557154067199426,0.16557154067199426,1.0052847450757458,1.0052847450757458,0.006979274901954879,0.006979274901954879,-0.03200863835109735,-0.03200863835109735,False,False,0.2298740817345557,0.2298740817345557,0.20103378329827917,0.20103378329827917
45,0.75,False,False,87.64811408719702,50.0,94.30742531382612,87.62378716330787,87.67298160471034,87.67298160471034,74.0,37.648114087197015,1.1410098876229215,1.1410098876229215,1.0052847450757458,0.3385090515644231,1.057989016249537,0.21056526646153267,0.1961292510023668,1.1410098876229215,0.20088957914622113,0.20088957914622113,0.21035207151639954,0.20088957914622113,0.20088957914622113,1.1032536056810116,1.1032536056810116,0.0047603281438543255,0.0047603281438543255,-0.03775628194190994,-0.03775628194190994,False,False,0.20103378329827917,0.20103378329827917,0.17486043577503882,0.17486043577503882
