time_s,BIS,Ce_prop,Ce_remi,Cp_prop,Cp_remi,u_prop,u_remi,MAP,CO,HR,SV,TPR,ce_del,ce_bis
0,93.0,0.0,0.0,0.0,0.0,2.0,4.0,91.8363360109734,5.634131043618,62.8881,89.58978,0.0163,0.0,0.0
5,92.99998780702175,0.0004025410015331911,0.0028995892186122435,0.3250507080196994,0.9872704259465785,2.0,4.0,91.8363360109734,5.634131043618,62.8881,89.58978,0.0163,0.0004025410015331911,0.0
10,92.99983424892095,0.0016054719583180463,0.0115342968141521,0.6473858218818438,1.960457728561777,2.0,4.0,91.78571796728548,5.632280501872954,62.88535334344256,89.56426580149392,0.01629636839585016,0.0016054719583180463,0.0
15,92.9992416245927,0.0036001178728964633,0.025788455131713482,0.9670293701807983,2.9197762967241006,2.0,4.0,91.69516806903408,5.628901824586843,62.8776688615442,89.52147760092078,0.0162900634842329,0.0036001178728964633,0.0
20,92.99777773231494,0.006377884449528439,0.04554832369219684,1.2840051677450666,3.865437230098139,2.0,4.0,91.5706821091231,5.624131140305777,62.86477064688736,89.46395703718751,0.016281747317887847,0.006377884449528439,0.0
25,92.99777773231494,0.006377884449528439,0.04554832369219684,1.2840051677450666,3.865437230098139,2.0,4.0,91.5706821091231,5.624131140305777,62.86477064688736,89.46395703718751,0.016281747317887847,0.006377884449528439,0.0
30,92.9948985141606,0.00993025736751553,0.07070205872986109,1.5983368175400097,4.797648389643923,2.0,4.0,91.41626628592434,5.618043835432912,62.846630663035036,89.3929201321101,0.016271903346386053,0.00993025736751553,0.0
35,92.98996427270824,0.014248801561013102,0.10113968320275557,1.9100477125536257,5.7166144473505724,2.0,4.0,91.23487945026599,5.610691815609589,62.82329086049772,89.30910397655565,0.016260896596822533,0.014248801561013102,0.0
40,92.98225271004738,0.019325160505273564,0.1367530572687403,2.219161037665545,6.622536935206158,2.0,4.0,91.02882493691484,5.60211621136695,62.79482025997766,89.2130304406248,0.016249006893540193,0.019325160505273564,0.0
45,92.97097003462152,0.02515105550926328,0.17743584921991443,2.525699771499389,7.515614293415498,2.0,4.0,90.79995348964914,5.592352606592065,62.761300363485866,89.10511054110759,0.01623645000185028,0.02515105550926328,0.0
50,92.97097003462152,0.02515105550926328,0.17743584921991443,2.525699771499389,7.515614293415498,2.0,4.0,90.79995348964914,5.592352606592065,62.761300363485866,89.10511054110759,0.01623645000185028,0.02515105550926328,0.0
55,92.95340193267229,0.03171828501459639,0.22308350686838394,2.8296866882586382,8.396041917877445,2.0,4.0,90.54978720950005,5.581433494673231,62.722819093816135,88.9856925328075,0.016223392663536763,0.03171828501459639,0.00046002438791359346
60,92.9270906362952,0.03901872390072927,0.27359322937640757,3.1311443595461617,9.264012206933039,2.0,4.0,90.27960373260925,5.569389546489273,62.67946791236399,88.85508655364112,0.01620996394290969,0.03901872390072927,0.0014500540679541554
