time_s,time_min,falla_prop_inyectada,falla_remi_inyectada,BIS,BIS_ref,BIS_desde_Ce_real,BIS_desde_Ce_bis,BIS_mas,BIS_menos,age_patient,error,Ce_remi_pred,Ce_remi_corr,Ce_remi_prom,Ce_prop,Ce_remi,Ce_bis,Ce_prop_obs,Ce_remi_obs,Ce_bis_menos,Ce_bis_mas,Ce_bis_inv,Ce_prop_menos,Ce_prop_mas,Ce_remi_menos,Ce_remi_mas,r_prop_sup,r_prop_inf,r_remi_sup,r_remi_inf,fallo_prop,fallo_remi,u_prop_app,u_remi_app,u_prop_cmd,u_remi_cmd
0,0.0,False,False,93.0,50.0,98.8,93.0,93.0,93.0,74.0,43.0,0.0,0.0,0.06,0.0,0.0,0.0,7.73070496506989e-12,0.0,7.442349669872783e-12,7.442349669872783e-12,7.321432349272073e-12,7.442349669872783e-12,7.442349669872783e-12,0.0,0.0,-2.8835529519710695e-13,-2.8835529519710695e-13,0.0,-0.0,False,False,0.0,0.0,6.043972499999999,6.043972499999999
5,0.08333333333333333,False,False,92.99515169190265,50.0,98.79132798982106,92.97675696277437,92.94263298009015,92.94263298009015,74.0,42.99515169190265,0.14742010188281207,0.15773950901460893,0.0,0.01927387911056376,0.06882320395418404,0.0,7.73070496506989e-12,0.15773950901460893,0.009202269943955715,0.009202269943955715,7.321432349272073e-12,0.009202269943955715,0.009202269943955715,0.16044877448771427,0.16044877448771427,0.00920226993622501,0.00920226993622501,0.002709265473105349,0.002709265473105349,False,False,6.043972499999999,6.043972499999999,0.3697635339346066,0.3697635339346066
10,0.16666666666666666,False,False,92.96042603306536,50.0,98.69960917128947,92.91664406594822,92.7995118980316,92.7995118980316,74.0,42.96042603306536,0.2898461698169258,0.31013540170411064,0.16044877448771427,0.05791141935795871,0.2034916716289493,0.0005268644426936545,7.73070496506989e-12,0.31013540170411064,0.01728929937057463,0.01728929937057463,0.0005263309992642462,0.01728929937057463,0.01728929937057463,0.31664314592536913,0.31664314592536913,0.017289299362843926,0.017289299362843926,0.0065077442212584935,0.0065077442212584935,False,False,0.3697635339346066,0.3697635339346066,0.3679947800337191,0.3679947800337191
15,0.25,False,False,92.80429939640435,50.0,98.48525556590708,92.77839402059402,92.62775417319654,92.62775417319654,74.0,42.804299396404346,0.42756899327313524,0.45749882280225473,0.31664314592536913,0.09722605868860033,0.33574630787773085,0.01466563384734565,0.005994342052417778,0.45749882280225473,0.022258893188506546,0.022258893188506546,0.01465078506066675,0.022258893188506546,0.022258893188506546,0.4564322956346049,0.4564322956346049,0.016264551136088767,0.016264551136088767,-0.0010665271676498222,-0.0010665271676498222,False,False,0.3679947800337191,0.3679947800337191,0.353104021764662,0.353104021764662
20,0.3333333333333333,False,False,92.443836298558,50.0,98.1330360972189,92.37392663875742,92.19319649349775,92.19319649349775,74.0,42.443836298558,0.5605364274697698,0.5997739773926538,0.4564322956346049,0.1371257040544355,0.4654426548565882,0.03856197755084152,0.029563413203050004,0.5997739773926538,0.04422862150280343,0.04422862150280343,0.03852293398435905,0.04422862150280343,0.04422862150280343,0.5912965576451523,0.5912965576451523,0.014665208299753422,0.014665208299753422,-0.008477419747501491,-0.008477419747501491,False,False,0.353104021764662,0.353104021764662,0.3255081931436709,0.3255081931436709
25,0.4166666666666667,False,False,91.85875295547679,50.0,97.63620811858434,91.71914003458427,91.54007374313088,91.54007374313088,74.0,41.85875295547679,0.6883958828821927,0.7365835946839462,0.5912965576451523,0.17744025291679838,0.5921603290936358,0.06827562805098439,0.05903768365487849,0.7365835946839462,0.07187444042363766,0.07187444042363766,0.06820649975065862,0.07187444042363766,0.07187444042363766,0.7209426269916634,0.7209426269916634,0.012836756768759172,0.012836756768759172,-0.015640967692282737,-0.015640967692282737,False,False,0.3255081931436709,0.3255081931436709,0.29329199065141903,0.29329199065141903
30,0.5,False,False,91.06159140763108,50.0,96.99546906644565,90.82900770959708,90.68144455916267,90.68144455916267,74.0,41.061591407631084,0.8107201297724445,0.8674705388565156,0.7209426269916634,0.21795205058303904,0.7153216417155991,0.10140656290144234,0.09238932296511848,0.8674705388565156,0.10322054947544215,0.10322054947544215,0.10130388990205574,0.10322054947544215,0.10322054947544215,0.8449052623430666,0.8449052623430666,0.010831226510323672,0.010831226510323672,-0.022565276513448973,-0.022565276513448973,False,False,0.29329199065141903,0.29329199065141903,0.260882835971756,0.260882835971756
35,0.5833333333333334,False,False,90.07555281090895,50.0,96.21805403898439,89.73076502561403,89.64033203207029,89.64033203207029,74.0,40.075552810908945,0.9271227202139036,0.9920213106288769,0.8449052623430666,0.25843751785265556,0.8343445937916133,0.13663233756948873,0.12843621665297178,0.9920213106288769,0.13712646083163157,0.13712646083163157,0.13649399887221988,0.13712646083163157,0.13712646083163157,0.962785263347692,0.962785263347692,0.008690244178659795,0.008690244178659795,-0.029236047281184896,-0.029236047281184896,False,False,0.260882835971756,0.260882835971756,0.2298740817345557,0.2298740817345557
40,0.6666666666666666,False,False,88.92796739219969,50.0,95.31652959851992,88.45635065682345,88.4440755464447,88.4440755464447,74.0,38.92796739219969,1.0372933834268432,1.1099039202667222,0.962785263347692,0.29868646785232283,0.9487111057450507,0.17318504191269718,0.16642398259818947,1.1099039202667222,0.17287236028658404,0.17287236028658404,0.17300969402281227,0.17287236028658404,0.17287236028658404,1.0742727358277155,1.0742727358277155,0.006448377688394569,0.006448377688394569,-0.0356311844390067,-0.0356311844390067,False,False,0.2298740817345557,0.2298740817345557,0.20103378329827917,0.20103378329827917
45,0.75,False,False,87.64811408719702,50.0,94.30742531382612,87.03974728077606,87.12196827317933,87.12196827317933,74.0,37.648114087197015,1.1410098876229215,1.220880579756526,1.0742727358277155,0.3385090515644231,1.057989016249537,0.21056526646153267,0.2058146461135948,1.220880579756526,0.20994951422094454,0.20994951422094454,0.21035207151639954,0.20994951422094454,0.20994951422094454,1.1791512927025254,1.1791512927025254,0.004134868107349754,0.004134868107349754,-0.0417292870540007,-0.0417292870540007,False,False,0.20103378329827917,0.20103378329827917,0.17486043577503882,0.17486043577503882
